epoch_id,campaign_id,sequence_id,output_time,gps_seconds,fixed_lat_deg,fixed_lon_deg,fixed_height_m,ratio,n_sat_solution,pos_sigma_h,pos_sigma_v,reference_lat_deg,reference_lon_deg,fixed_error_h,risk_score,requires_review,quality_category,actual_exceeds_tolerance
33,DATA13,DATA13,2021-11-18 04:39:23.000000,1321245563.0,30.534804701,114.421190778,12.6308,12.9,25,0.0052325901807804,0.011,30.5348047377,114.4211906467,0.0132407932353249,0.0009911894900978741,False,В пределах допуска — принято,False
34,DATA13,DATA13,2021-11-18 04:39:24.000000,1321245564.0,30.53480472,114.421190801,12.6253,14.0,25,0.0052325901807804,0.011,30.5348047367,114.4211906442,0.0151607672848251,0.0009543699081971995,False,В пределах допуска — принято,False
35,DATA13,DATA13,2021-11-18 04:39:25.000000,1321245565.0,30.5348047,114.421190791,12.6378,13.4,25,0.0051623637996561,0.0109,30.5348047359,114.4211906447,0.0145928804355917,0.0009554110045672077,False,В пределах допуска — принято,False
36,DATA13,DATA13,2021-11-18 04:39:26.000000,1321245566.0,30.5348047,114.421190767,12.6344,12.2,25,0.0051623637996561,0.0109,30.534804736,114.4211906465,0.0122331154308288,0.0009956912302170353,False,В пределах допуска — принято,False
37,DATA13,DATA13,2021-11-18 04:39:27.000000,1321245567.0,30.5348047,114.421190794,12.6305,11.1,25,0.0051623637996561,0.0109,30.5348047359,114.4211906473,0.0146298159826176,0.001034103338206979,False,В пределах допуска — принято,False
38,DATA13,DATA13,2021-11-18 04:39:28.000000,1321245568.0,30.534804715,114.421190796,12.6348,10.5,25,0.0051623637996561,0.0109,30.5348047358,114.4211906477,0.0144172001591418,0.0010556757322725807,False,В пределах допуска — принято,False
39,DATA13,DATA13,2021-11-18 04:39:29.000000,1321245569.0,30.534804701,114.42119081,12.6341,11.5,25,0.0051623637996561,0.0109,30.5348047357,114.4211906475,0.0160617810001276,0.0010199669541576676,False,В пределах допуска — принято,False
40,DATA13,DATA13,2021-11-18 04:39:30.000000,1321245570.0,30.534804707,114.42119079,12.6348,11.6,25,0.0051623637996561,0.0109,30.5348047357,114.4211906474,0.0140496121459169,0.0010164631259718768,False,В пределах допуска — принято,False
41,DATA13,DATA13,2021-11-18 04:39:31.000000,1321245571.0,30.534804701,114.421190791,12.634,11.9,25,0.0051623637996561,0.0109,30.5348047357,114.4211906474,0.0143074300498589,0.001006023622482719,False,В пределах допуска — принято,False
42,DATA13,DATA13,2021-11-18 04:39:32.000000,1321245572.0,30.534804701,114.421190803,12.6289,14.4,25,0.0051623637996561,0.0109,30.5348047356,114.4211906474,0.0154169493656254,0.0009230905987929296,False,В пределах допуска — принято,False
43,DATA13,DATA13,2021-11-18 04:39:33.000000,1321245573.0,30.534804693,114.421190793,12.6327,12.4,25,0.0051623637996561,0.0109,30.5348047356,114.4211906473,0.0147581433690043,0.0009888619328521267,False,В пределах допуска — принято,False
44,DATA13,DATA13,2021-11-18 04:39:34.000000,1321245574.0,30.534804696,114.421190787,12.6358,11.6,25,0.0051623637996561,0.0109,30.5348047356,114.4211906473,0.0141068102075526,0.0010164631259718768,False,В пределах допуска — принято,False
45,DATA13,DATA13,2021-11-18 04:39:35.000000,1321245575.0,30.534804692,114.421190797,12.6324,10.4,25,0.0051623637996561,0.0109,30.5348047357,114.4211906473,0.0151608437104214,0.0010593145860582967,False,В пределах допуска — принято,False
46,DATA13,DATA13,2021-11-18 04:39:36.000000,1321245576.0,30.534804707,114.421190792,12.6357,12.0,25,0.0051623637996561,0.0109,30.5348047356,114.4211906473,0.0142435059392282,0.001002567644874673,False,В пределах допуска — принято,False
47,DATA13,DATA13,2021-11-18 04:39:37.000000,1321245577.0,30.534804716,114.421190805,12.6351,9.7,25,0.0051623637996561,0.0109,30.5348047356,114.4211906473,0.0152888640623417,0.0010851398117958666,False,В пределах допуска — принято,False
48,DATA13,DATA13,2021-11-18 04:39:38.000000,1321245578.0,30.534804686,114.421190802,12.6311,12.4,25,0.0051623637996561,0.0109,30.5348047357,114.4211906473,0.0158352514354656,0.0009888619328521267,False,В пределах допуска — принято,False
49,DATA13,DATA13,2021-11-18 04:39:39.000000,1321245579.0,30.534804704,114.421190791,12.6326,12.4,25,0.0051623637996561,0.0109,30.5348047357,114.4211906473,0.0142309142088907,0.0009888619328521267,False,В пределах допуска — принято,False
50,DATA13,DATA13,2021-11-18 04:39:40.000000,1321245580.0,30.534804699,114.42119079,12.6329,13.1,25,0.0051623637996561,0.0109,30.5348047357,114.4211906474,0.0142766206862475,0.0009653258086098398,False,В пределах допуска — принято,False
51,DATA13,DATA13,2021-11-18 04:39:41.000000,1321245581.0,30.534804687,114.421190787,12.6286,12.2,25,0.0051623637996561,0.0109,30.5348047356,114.4211906473,0.0144484654444601,0.0009956912302170353,False,В пределах допуска — принято,False
52,DATA13,DATA13,2021-11-18 04:39:42.000000,1321245582.0,30.534804695,114.421190797,12.6311,12.0,25,0.0051623637996561,0.0109,30.5348047357,114.4211906473,0.0150578645454607,0.001002567644874673,False,В пределах допуска — принято,False
53,DATA13,DATA13,2021-11-18 04:39:43.000000,1321245583.0,30.534804697,114.421190795,12.6331,10.1,25,0.0051623637996561,0.0109,30.5348047356,114.4211906474,0.014796720712126,0.0010703064972079062,False,В пределах допуска — принято,False
54,DATA13,DATA13,2021-11-18 04:39:44.000000,1321245584.0,30.534804713,114.421190813,12.6325,10.7,25,0.0051623637996561,0.0109,30.5348047357,114.4211906474,0.0160898127369266,0.0010484354419535743,False,В пределах допуска — принято,False
55,DATA13,DATA13,2021-11-18 04:39:45.000000,1321245585.0,30.534804686,114.421190798,12.6393,10.6,25,0.0051623637996561,0.0109,30.5348047356,114.4211906474,0.0154630409445234,0.0010520493651568481,False,В пределах допуска — принято,False
56,DATA13,DATA13,2021-11-18 04:39:46.000000,1321245586.0,30.534804694,114.421190801,12.632,16.0,25,0.0051623637996561,0.0109,30.5348047357,114.4211906473,0.0154573067935334,0.0008736347249460409,False,В пределах допуска — принято,False
57,DATA13,DATA13,2021-11-18 04:39:47.000000,1321245587.0,30.534804684,114.421190801,12.633,12.9,25,0.0051623637996561,0.0109,30.5348047357,114.4211906473,0.0158242694323837,0.0009719927184888401,False,В пределах допуска — принято,False
58,DATA13,DATA13,2021-11-18 04:39:48.000000,1321245588.0,30.534804713,114.421190799,12.6329,8.8,25,0.0051623637996561,0.0109,30.5348047356,114.4211906474,0.01476244952059,0.0011192698967149317,False,В пределах допуска — принято,False
59,DATA13,DATA13,2021-11-18 04:39:49.000000,1321245589.0,30.534804696,114.421190809,12.6337,12.7,25,0.0051623637996561,0.0109,30.5348047356,114.4211906474,0.0161173539237254,0.0009787056274944605,False,В пределах допуска — принято,False
60,DATA13,DATA13,2021-11-18 04:39:50.000000,1321245590.0,30.534804698,114.42119081,12.6386,12.1,25,0.0051623637996561,0.0109,30.5348047356,114.4211906474,0.0161510712203943,0.0009991235276599901,False,В пределах допуска — принято,False
61,DATA13,DATA13,2021-11-18 04:39:51.000000,1321245591.0,30.534804696,114.421190805,12.6327,11.9,25,0.0051623637996561,0.0109,30.5348047356,114.4211906474,0.0157483561316001,0.001006023622482719,False,В пределах допуска — принято,False
62,DATA13,DATA13,2021-11-18 04:39:52.000000,1321245592.0,30.53480469,114.421190804,12.6302,12.4,25,0.0051623637996561,0.0109,30.5348047356,114.4211906474,0.0158555979738979,0.0009888619328521267,False,В пределах допуска — принято,False
63,DATA13,DATA13,2021-11-18 04:39:53.000000,1321245593.0,30.534804692,114.421190788,12.6283,11.1,25,0.0051623637996561,0.0109,30.5348047356,114.4211906474,0.0143323237752524,0.001034103338206979,False,В пределах допуска — принято,False
64,DATA13,DATA13,2021-11-18 04:39:54.000000,1321245594.0,30.534804695,114.421190815,12.634,9.6,25,0.0051623637996561,0.0109,30.5348047356,114.4211906473,0.016710888096447,0.0010888801158715406,False,В пределах допуска — принято,False
65,DATA13,DATA13,2021-11-18 04:39:55.000000,1321245595.0,30.534804683,114.421190805,12.6326,10.9,25,0.0051623637996561,0.0109,30.5348047357,114.4211906473,0.0162222595124893,0.0010412447569827727,False,В пределах допуска — принято,False
66,DATA13,DATA13,2021-11-18 04:39:56.000000,1321245596.0,30.534804713,114.421190792,12.6316,10.9,25,0.0051623637996561,0.0109,30.5348047357,114.4211906473,0.0141123185843074,0.0010412447569827727,False,В пределах допуска — принято,False
67,DATA13,DATA13,2021-11-18 04:39:57.000000,1321245597.0,30.534804695,114.421190807,12.6304,13.9,25,0.0051623637996561,0.0109,30.5348047357,114.4211906473,0.0159760059656301,0.0009391119005543461,False,В пределах допуска — принято,False
68,DATA13,DATA13,2021-11-18 04:39:58.000000,1321245598.0,30.534804702,114.421190804,12.63,9.6,25,0.0051623637996561,0.0109,30.5348047357,114.4211906473,0.0154948549965909,0.0010888801158715406,False,В пределах допуска — принято,False
69,DATA13,DATA13,2021-11-18 04:39:59.000000,1321245599.0,30.534804686,114.421190803,12.6322,10.4,25,0.0051623637996561,0.0109,30.5348047357,114.4211906473,0.0159252552365808,0.0010593145860582967,False,В пределах допуска — принято,False
70,DATA13,DATA13,2021-11-18 04:40:00.000000,1321245600.0,30.534804677,114.421190789,12.6343,11.8,25,0.0051623637996561,0.0109,30.5348047357,114.4211906473,0.0150751612780005,0.0010094915012448101,False,В пределах допуска — принято,False
71,DATA13,DATA13,2021-11-18 04:40:01.000000,1321245601.0,30.534804707,114.421190807,12.6331,8.7,25,0.0051623637996561,0.0109,30.5348047357,114.4211906473,0.0156523927094935,0.0011231277094872645,False,В пределах допуска — принято,False
72,DATA13,DATA13,2021-11-18 04:40:02.000000,1321245602.0,30.534804697,114.421190802,12.6346,8.9,25,0.0051623637996561,0.0109,30.5348047357,114.4211906473,0.0154532870933074,0.001115425320282537,False,В пределах допуска — принято,False
73,DATA13,DATA13,2021-11-18 04:40:03.000000,1321245603.0,30.534804695,114.421190803,12.6307,9.4,25,0.0051623637996561,0.0109,30.5348047357,114.4211906473,0.0156081503847246,0.001096399402657494,False,В пределах допуска — принято,False
74,DATA13,DATA13,2021-11-18 04:40:04.000000,1321245604.0,30.534804697,114.421190808,12.6328,10.5,25,0.0051623637996561,0.0109,30.5348047357,114.4211906473,0.016007240019181,0.0010556757322725807,False,В пределах допуска — принято,False
75,DATA13,DATA13,2021-11-18 04:40:05.000000,1321245605.0,30.53480469,114.421190786,12.6385,10.1,25,0.0051623637996561,0.0109,30.5348047357,114.4211906473,0.0142419532673283,0.0010703064972079062,False,В пределах допуска — принято,False
76,DATA13,DATA13,2021-11-18 04:40:06.000000,1321245606.0,30.534804702,114.421190798,12.6361,7.7,25,0.0051623637996561,0.0109,30.5348047357,114.4211906473,0.0149366983125699,0.0011624439162435832,False,В пределах допуска — принято,False
77,DATA13,DATA13,2021-11-18 04:40:07.000000,1321245607.0,30.534804692,114.421190805,12.6357,9.8,25,0.0051623637996561,0.0109,30.5348047357,114.4211906473,0.0158902046421625,0.0010814123417586332,False,В пределах допуска — принято,False
78,DATA13,DATA13,2021-11-18 04:40:08.000000,1321245608.0,30.534804701,114.421190811,12.6301,7.7,25,0.0051623637996561,0.0109,30.5348047357,114.4211906473,0.01617361165362,0.0011624439162435832,False,В пределах допуска — принято,False
79,DATA13,DATA13,2021-11-18 04:40:09.000000,1321245609.0,30.5348047,114.421190798,12.6344,7.8,25,0.0051623637996561,0.0109,30.5348047357,114.4211906473,0.0149936939875673,0.0011584512135044576,False,В пределах допуска — принято,False
80,DATA13,DATA13,2021-11-18 04:40:10.000000,1321245610.0,30.534804695,114.421190793,12.6321,9.6,25,0.0051623637996561,0.0109,30.5348047357,114.4211906473,0.0146920930788928,0.0010888801158715406,False,В пределах допуска — принято,False
81,DATA13,DATA13,2021-11-18 04:40:11.000000,1321245611.0,30.53480469,114.421190801,12.6334,9.7,25,0.0051623637996561,0.0109,30.5348047357,114.4211906473,0.0155956738368213,0.0010851398117958666,False,В пределах допуска — принято,False
82,DATA13,DATA13,2021-11-18 04:40:12.000000,1321245612.0,30.534804688,114.421190791,12.6331,9.3,25,0.0051623637996561,0.0109,30.5348047357,114.4211906473,0.0147693106509273,0.0011001784740049627,False,В пределах допуска — принято,False
83,DATA13,DATA13,2021-11-18 04:40:13.000000,1321245613.0,30.534804715,114.421190808,12.6327,7.9,25,0.0051623637996561,0.0109,30.5348047357,114.4211906473,0.0155913732483777,0.0011544722088451258,False,В пределах допуска — принято,False
84,DATA13,DATA13,2021-11-18 04:40:14.000000,1321245614.0,30.534804688,114.421190798,12.6341,8.8,25,0.0051623637996561,0.0109,30.5348047357,114.4211906473,0.0153984094127948,0.0011192698967149317,False,В пределах допуска — принято,False
85,DATA13,DATA13,2021-11-18 04:40:15.000000,1321245615.0,30.534804693,114.421190814,12.6318,11.1,25,0.0051623637996561,0.0109,30.5348047357,114.4211906473,0.0166830482105997,0.001034103338206979,False,В пределах допуска — принято,False
86,DATA13,DATA13,2021-11-18 04:40:16.000000,1321245616.0,30.534804699,114.42119081,12.6289,10.3,25,0.0051623637996561,0.0109,30.5348047357,114.4211906474,0.0161256088443957,0.0010629659694178113,False,В пределах допуска — принято,False
